site_id,date,year,month,weather_code,weather_group,temp_mean_f,temp_min_f,precipitation_in,rain_in,snowfall_in,precipitation_hours,wind_max_mph,daylight_hours,is_wet_day,is_snow_day,is_freezing_day
atlantic-baum-liberty,2019-01-01,2019,1,53,rain,45.2,37.4,0.059,0.059,0.0,6.0,20.5,9.34,1,0,0
atlantic-baum-liberty,2019-01-02,2019,1,3,cloud,38.4,35.6,0.0,0.0,0.0,0.0,7.0,9.35,0,0,0
atlantic-baum-liberty,2019-01-03,2019,1,51,rain,35.8,30.3,0.016,0.016,0.0,2.0,12.7,9.37,1,0,1
atlantic-baum-liberty,2019-01-04,2019,1,55,rain,35.4,28.3,0.047,0.047,0.0,2.0,8.3,9.38,1,0,1
atlantic-baum-liberty,2019-01-05,2019,1,61,rain,41.5,37.0,0.268,0.268,0.0,10.0,10.3,9.4,1,0,0
atlantic-baum-liberty,2019-01-06,2019,1,3,cloud,36.9,29.3,0.0,0.0,0.0,0.0,10.5,9.41,0,0,1
atlantic-baum-liberty,2019-01-07,2019,1,3,cloud,35.9,26.2,0.0,0.0,0.0,0.0,14.8,9.43,0,0,1
atlantic-baum-liberty,2019-01-08,2019,1,53,rain,49.9,40.5,0.154,0.154,0.0,13.0,19.5,9.45,1,0,0
atlantic-baum-liberty,2019-01-09,2019,1,73,snow,32.0,23.6,0.154,0.012,0.992,19.0,17.0,9.47,1,1,1
atlantic-baum-liberty,2019-01-10,2019,1,71,snow,23.4,21.6,0.02,0.0,0.138,5.0,14.2,9.49,0,1,1
atlantic-baum-liberty,2019-01-11,2019,1,3,cloud,23.9,20.6,0.0,0.0,0.0,0.0,9.3,9.51,0,0,1
atlantic-baum-liberty,2019-01-12,2019,1,73,snow,27.3,22.9,0.122,0.0,0.854,10.0,7.5,9.54,0,1,1
atlantic-baum-liberty,2019-01-13,2019,1,73,snow,27.4,23.9,0.118,0.0,0.854,14.0,9.5,9.56,0,1,1
atlantic-baum-liberty,2019-01-14,2019,1,3,cloud,24.7,13.5,0.0,0.0,0.0,0.0,6.5,9.58,0,0,1
atlantic-baum-liberty,2019-01-15,2019,1,3,cloud,26.0,22.5,0.0,0.0,0.0,0.0,8.2,9.61,0,0,1
atlantic-baum-liberty,2019-01-16,2019,1,71,snow,29.4,23.8,0.031,0.0,0.22,8.0,10.9,9.63,0,1,1
atlantic-baum-liberty,2019-01-17,2019,1,73,snow,28.4,22.1,0.067,0.0,0.469,8.0,6.2,9.66,0,1,1
atlantic-baum-liberty,2019-01-18,2019,1,73,snow,33.7,31.2,0.047,0.016,0.22,7.0,8.1,9.68,1,1,1
atlantic-baum-liberty,2019-01-19,2019,1,73,snow,32.6,28.5,0.614,0.492,0.854,13.0,10.5,9.71,1,1,1
atlantic-baum-liberty,2019-01-20,2019,1,75,snow,20.6,8.1,0.681,0.437,1.709,12.0,16.2,9.74,1,1,1
atlantic-baum-liberty,2019-01-21,2019,1,71,snow,6.6,-3.7,0.008,0.0,0.083,2.0,13.3,9.77,0,0,1
atlantic-baum-liberty,2019-01-22,2019,1,3,cloud,11.8,-10.1,0.0,0.0,0.0,0.0,8.8,9.8,0,0,1
atlantic-baum-liberty,2019-01-23,2019,1,61,rain,41.9,29.7,0.531,0.531,0.0,14.0,12.5,9.83,1,0,1
atlantic-baum-liberty,2019-01-24,2019,1,73,snow,34.5,25.6,0.661,0.575,0.606,13.0,13.4,9.86,1,1,1
atlantic-baum-liberty,2019-01-25,2019,1,71,snow,19.8,9.5,0.012,0.0,0.083,3.0,14.2,9.89,0,0,1
atlantic-baum-liberty,2019-01-26,2019,1,71,snow,20.2,5.7,0.031,0.004,0.193,7.0,10.3,9.93,0,1,1
atlantic-baum-liberty,2019-01-27,2019,1,73,snow,25.6,7.0,0.051,0.0,0.358,8.0,14.4,9.96,0,1,1
atlantic-baum-liberty,2019-01-28,2019,1,3,cloud,22.7,4.6,0.0,0.0,0.0,0.0,11.6,10.0,0,0,1
atlantic-baum-liberty,2019-01-29,2019,1,71,snow,27.1,16.3,0.051,0.047,0.028,4.0,13.6,10.03,1,0,1
atlantic-baum-liberty,2019-01-30,2019,1,73,snow,7.1,-3.2,0.031,0.0,0.22,5.0,18.1,10.07,0,1,1
atlantic-baum-liberty,2019-01-31,2019,1,3,cloud,5.2,-2.7,0.0,0.0,0.0,0.0,11.6,10.1,0,0,1
atlantic-baum-liberty,2019-02-01,2019,2,73,snow,13.1,8.6,0.11,0.0,0.772,13.0,4.6,10.14,0,1,1
atlantic-baum-liberty,2019-02-02,2019,2,3,cloud,23.4,5.4,0.0,0.0,0.0,0.0,7.6,10.17,0,0,1
atlantic-baum-liberty,2019-02-03,2019,2,3,cloud,38.9,26.6,0.0,0.0,0.0,0.0,8.2,10.21,0,0,1
atlantic-baum-liberty,2019-02-04,2019,2,53,rain,44.8,31.1,0.031,0.031,0.0,2.0,10.0,10.25,1,0,1
atlantic-baum-liberty,2019-02-05,2019,2,51,rain,46.4,35.3,0.051,0.051,0.0,10.0,9.2,10.29,1,0,0
atlantic-baum-liberty,2019-02-06,2019,2,63,rain,43.2,32.9,1.413,1.413,0.0,15.0,7.7,10.32,1,0,0
atlantic-baum-liberty,2019-02-07,2019,2,63,rain,50.8,40.5,0.567,0.567,0.0,12.0,12.1,10.36,1,0,0
atlantic-baum-liberty,2019-02-08,2019,2,61,rain,34.8,20.3,0.248,0.248,0.0,6.0,18.0,10.4,1,0,1
atlantic-baum-liberty,2019-02-09,2019,2,3,cloud,21.2,15.9,0.0,0.0,0.0,0.0,13.4,10.44,0,0,1
atlantic-baum-liberty,2019-02-10,2019,2,73,snow,26.2,17.0,0.173,0.0,1.213,7.0,5.6,10.48,0,1,1
atlantic-baum-liberty,2019-02-11,2019,2,73,snow,34.0,30.3,0.402,0.224,1.24,24.0,8.3,10.52,1,1,1
atlantic-baum-liberty,2019-02-12,2019,2,63,rain,37.9,32.5,1.047,1.047,0.0,24.0,18.3,10.56,1,0,0
atlantic-baum-liberty,2019-02-13,2019,2,73,snow,29.7,27.5,0.031,0.008,0.165,5.0,19.9,10.6,0,1,1
atlantic-baum-liberty,2019-02-14,2019,2,3,cloud,34.8,23.4,0.0,0.0,0.0,0.0,10.9,10.64,0,0,1
atlantic-baum-liberty,2019-02-15,2019,2,51,rain,42.7,28.3,0.024,0.024,0.0,4.0,14.4,10.68,1,0,1
atlantic-baum-liberty,2019-02-16,2019,2,3,cloud,27.5,22.4,0.0,0.0,0.0,0.0,8.2,10.73,0,0,1
atlantic-baum-liberty,2019-02-17,2019,2,73,snow,29.2,20.9,0.209,0.161,0.331,10.0,8.1,10.77,1,1,1
atlantic-baum-liberty,2019-02-18,2019,2,71,snow,30.5,23.1,0.012,0.004,0.055,3.0,13.2,10.81,0,0,1
atlantic-baum-liberty,2019-02-19,2019,2,3,cloud,24.7,17.3,0.0,0.0,0.0,0.0,9.1,10.85,0,0,1
atlantic-baum-liberty,2019-02-20,2019,2,75,snow,31.6,25.5,1.102,0.504,4.189,17.0,11.9,10.9,1,1,1
atlantic-baum-liberty,2019-02-21,2019,2,53,rain,39.4,34.6,0.047,0.047,0.0,3.0,11.4,10.94,1,0,0
atlantic-baum-liberty,2019-02-22,2019,2,3,cloud,35.1,28.6,0.0,0.0,0.0,0.0,6.3,10.98,0,0,1
atlantic-baum-liberty,2019-02-23,2019,2,51,rain,36.2,30.6,0.047,0.047,0.0,5.0,10.1,11.03,1,0,1
atlantic-baum-liberty,2019-02-24,2019,2,63,rain,43.2,33.3,0.252,0.252,0.0,10.0,24.5,11.07,1,0,0
atlantic-baum-liberty,2019-02-25,2019,2,2,cloud,27.5,22.0,0.0,0.0,0.0,0.0,21.6,11.11,0,0,1
atlantic-baum-liberty,2019-02-26,2019,2,3,cloud,27.7,22.4,0.0,0.0,0.0,0.0,8.2,11.15,0,0,1
atlantic-baum-liberty,2019-02-27,2019,2,71,snow,35.0,23.2,0.055,0.043,0.083,4.0,9.3,11.2,1,0,1
atlantic-baum-liberty,2019-02-28,2019,2,73,snow,29.6,22.9,0.031,0.0,0.22,3.0,9.1,11.24,0,1,1
atlantic-baum-liberty,2019-03-01,2019,3,75,snow,32.3,26.8,0.272,0.004,1.874,6.0,8.2,11.28,0,1,1
atlantic-baum-liberty,2019-03-02,2019,3,71,snow,34.9,26.7,0.004,0.0,0.028,1.0,11.8,11.33,0,0,1
atlantic-baum-liberty,2019-03-03,2019,3,75,snow,29.6,25.9,0.311,0.0,2.177,11.0,8.3,11.37,0,1,1
atlantic-baum-liberty,2019-03-04,2019,3,3,cloud,21.3,14.1,0.0,0.0,0.0,0.0,10.3,11.42,0,0,1
atlantic-baum-liberty,2019-03-05,2019,3,71,snow,13.7,3.3,0.012,0.0,0.083,3.0,11.9,11.46,0,0,1
atlantic-baum-liberty,2019-03-06,2019,3,71,snow,15.1,10.0,0.004,0.0,0.028,1.0,12.8,11.51,0,0,1
atlantic-baum-liberty,2019-03-07,2019,3,3,cloud,22.8,13.2,0.0,0.0,0.0,0.0,11.1,11.55,0,0,1
atlantic-baum-liberty,2019-03-08,2019,3,51,rain,28.6,18.3,0.004,0.004,0.0,1.0,5.4,11.6,0,0,1
atlantic-baum-liberty,2019-03-09,2019,3,63,rain,34.2,21.0,0.339,0.339,0.0,3.0,14.1,11.64,1,0,1
atlantic-baum-liberty,2019-03-10,2019,3,63,rain,48.2,37.4,0.331,0.331,0.0,8.0,18.0,11.69,1,0,0
atlantic-baum-liberty,2019-03-11,2019,3,3,cloud,38.0,29.6,0.0,0.0,0.0,0.0,14.3,11.73,0,0,1
atlantic-baum-liberty,2019-03-12,2019,3,3,cloud,33.5,23.8,0.0,0.0,0.0,0.0,8.0,11.78,0,0,1
atlantic-baum-liberty,2019-03-13,2019,3,3,cloud,41.2,27.9,0.0,0.0,0.0,0.0,7.9,11.82,0,0,1
atlantic-baum-liberty,2019-03-14,2019,3,51,rain,57.4,41.3,0.008,0.008,0.0,2.0,22.5,11.87,0,0,0
atlantic-baum-liberty,2019-03-15,2019,3,53,rain,53.5,40.0,0.079,0.079,0.0,4.0,19.1,11.91,1,0,0
atlantic-baum-liberty,2019-03-16,2019,3,3,cloud,36.4,32.5,0.0,0.0,0.0,0.0,14.3,11.96,0,0,0
