site_id,year,month,days,wet_days,snow_days,freezing_days,storm_days,fog_days,clear_days,wet_day_share,precipitation_in,snowfall_in,temp_mean_f,daylight_hours_mean
atlantic-baum-liberty,2019,1,31,12,13,27,0,0,0,0.387,3.77,7.88,28.09,9.66
atlantic-baum-liberty,2019,2,28,14,7,22,0,0,0,0.5,5.85,8.27,33.54,10.67
atlantic-baum-liberty,2019,3,31,10,3,23,0,0,1,0.323,2.27,4.85,37.1,11.96
atlantic-baum-liberty,2019,4,30,17,0,2,0,0,0,0.567,4.98,0.03,53.24,13.3
atlantic-baum-liberty,2019,5,31,22,0,0,0,0,0,0.71,8.23,0.0,63.35,14.43
atlantic-baum-liberty,2019,6,30,22,0,0,0,0,0,0.733,7.45,0.0,67.45,15.01
atlantic-baum-liberty,2019,7,31,19,0,0,0,0,0,0.613,5.54,0.0,74.38,14.73
atlantic-baum-liberty,2019,8,31,18,0,0,0,0,1,0.581,3.29,0.0,71.52,13.74
atlantic-baum-liberty,2019,9,30,12,0,0,0,0,2,0.4,2.38,0.0,69.33,12.46
atlantic-baum-liberty,2019,10,31,11,0,0,0,0,3,0.355,5.54,0.0,56.76,11.13
atlantic-baum-liberty,2019,11,30,10,1,14,0,0,0,0.333,1.66,1.13,38.14,9.95
atlantic-baum-liberty,2019,12,31,14,5,22,0,0,0,0.452,4.71,2.79,35.87,9.34
atlantic-baum-liberty,2020,1,31,12,8,18,0,0,0,0.387,4.58,3.61,35.62,9.66
atlantic-baum-liberty,2020,2,29,12,10,18,0,0,2,0.414,4.25,7.19,34.76,10.68
atlantic-baum-liberty,2020,3,31,23,3,9,0,0,0,0.742,5.37,0.69,45.83,11.99
atlantic-baum-liberty,2020,4,30,19,3,5,0,0,0,0.633,5.24,0.88,47.19,13.33
atlantic-baum-liberty,2020,5,31,14,1,1,0,0,0,0.452,2.67,0.14,57.38,14.46
atlantic-baum-liberty,2020,6,30,15,0,0,0,0,1,0.5,2.94,0.0,70.62,15.01
atlantic-baum-liberty,2020,7,31,18,0,0,0,0,0,0.581,1.75,0.0,78.25,14.71
atlantic-baum-liberty,2020,8,31,16,0,0,0,0,0,0.516,3.19,0.0,74.26,13.71
atlantic-baum-liberty,2020,9,30,9,0,0,0,0,5,0.3,1.77,0.0,65.97,12.43
atlantic-baum-liberty,2020,10,31,18,0,0,0,0,1,0.581,3.09,0.0,54.92,11.09
atlantic-baum-liberty,2020,11,30,11,2,7,0,0,5,0.367,2.62,0.36,47.13,9.93
atlantic-baum-liberty,2020,12,31,11,13,24,0,0,0,0.355,4.29,16.26,33.81,9.34
atlantic-baum-liberty,2021,1,31,5,7,27,0,0,0,0.161,2.13,5.65,31.24,9.68
atlantic-baum-liberty,2021,2,28,7,14,26,0,0,0,0.25,3.06,10.28,28.07,10.69
atlantic-baum-liberty,2021,3,31,10,0,14,0,0,4,0.323,3.8,0.06,44.48,11.98
atlantic-baum-liberty,2021,4,30,19,3,5,0,0,0,0.633,3.94,1.52,51.33,13.32
atlantic-baum-liberty,2021,5,31,14,0,0,0,0,0,0.452,4.27,0.0,59.04,14.45
atlantic-baum-liberty,2021,6,30,21,0,0,0,0,0,0.7,4.89,0.0,71.0,15.01
atlantic-baum-liberty,2021,7,31,20,0,0,0,0,0,0.645,4.97,0.0,72.75,14.72
atlantic-baum-liberty,2021,8,31,23,0,0,0,0,0,0.742,6.84,0.0,74.73,13.72
atlantic-baum-liberty,2021,9,30,15,0,0,0,0,2,0.5,5.76,0.0,66.12,12.44
atlantic-baum-liberty,2021,10,31,18,0,0,0,0,2,0.581,6.22,0.0,59.68,11.1
atlantic-baum-liberty,2021,11,30,11,5,15,0,0,2,0.367,1.41,1.68,40.91,9.94
atlantic-baum-liberty,2021,12,31,15,1,15,0,0,1,0.484,4.24,0.17,41.05,9.34
atlantic-baum-liberty,2022,1,31,4,10,29,0,0,0,0.129,3.55,10.69,24.53,9.67
atlantic-baum-liberty,2022,2,28,11,4,25,0,0,0,0.393,5.65,2.92,32.76,10.68
atlantic-baum-liberty,2022,3,31,18,7,15,0,0,0,0.581,3.92,7.58,42.62,11.97
atlantic-baum-liberty,2022,4,30,21,4,5,0,0,0,0.7,4.7,1.24,48.68,13.31
atlantic-baum-liberty,2022,5,31,17,0,0,0,0,0,0.548,7.92,0.0,62.47,14.44
atlantic-baum-liberty,2022,6,30,15,0,0,0,0,1,0.5,7.09,0.0,69.69,15.01
atlantic-baum-liberty,2022,7,31,17,0,0,0,0,0,0.548,4.45,0.0,74.49,14.72
atlantic-baum-liberty,2022,8,31,17,0,0,0,0,2,0.548,5.68,0.0,71.92,13.73
atlantic-baum-liberty,2022,9,30,15,0,0,0,0,0,0.5,3.4,0.0,64.76,12.45
atlantic-baum-liberty,2022,10,31,11,0,0,0,0,2,0.355,2.9,0.0,51.55,11.12
atlantic-baum-liberty,2022,11,30,11,1,12,0,0,2,0.367,3.83,1.18,44.59,9.94
atlantic-baum-liberty,2022,12,31,10,3,19,0,0,1,0.323,2.35,0.97,33.41,9.34
atlantic-baum-liberty,2023,1,31,13,9,17,0,0,0,0.419,4.57,5.04,37.48,9.66
atlantic-baum-liberty,2023,2,28,11,0,18,0,0,0,0.393,2.42,0.06,39.26,10.67
atlantic-baum-liberty,2023,3,31,14,3,17,0,0,0,0.452,4.21,1.1,40.12,11.96
atlantic-baum-liberty,2023,4,30,13,0,2,0,0,2,0.433,2.57,0.0,52.91,13.3
atlantic-baum-liberty,2023,5,31,10,0,0,0,0,4,0.323,3.22,0.06,59.85,14.43
atlantic-baum-liberty,2023,6,30,16,0,0,0,0,1,0.533,5.11,0.0,67.34,15.01
atlantic-baum-liberty,2023,7,31,24,0,0,0,0,1,0.774,4.75,0.0,73.03,14.73
atlantic-baum-liberty,2023,8,31,17,0,0,0,0,0,0.548,3.65,0.0,70.62,13.74
atlantic-baum-liberty,2023,9,30,13,0,0,0,0,3,0.433,2.0,0.0,65.49,12.46
atlantic-baum-liberty,2023,10,31,11,1,0,0,0,4,0.355,3.83,0.17,55.65,11.13
atlantic-baum-liberty,2023,11,30,6,2,9,0,0,3,0.2,1.69,0.41,42.49,9.95
atlantic-baum-liberty,2023,12,31,15,1,15,0,0,2,0.484,3.01,0.47,40.21,9.34
atlantic-baum-liberty,2024,1,31,13,12,23,0,0,0,0.419,5.2,7.96,31.67,9.66
atlantic-baum-liberty,2024,2,29,11,4,22,0,0,4,0.379,2.76,2.48,37.28,10.68
atlantic-baum-liberty,2024,3,31,17,4,12,0,0,1,0.548,4.5,1.57,44.85,11.99
atlantic-baum-liberty,2024,4,30,20,2,1,0,0,0,0.667,9.81,0.88,54.14,13.33
atlantic-baum-liberty,2024,5,31,23,0,0,0,0,3,0.742,6.27,0.0,64.22,14.46
atlantic-baum-liberty,2024,6,30,13,0,0,0,0,0,0.433,3.01,0.0,71.69,15.02
atlantic-baum-liberty,2024,7,31,15,0,0,0,0,2,0.484,4.94,0.0,74.69,14.71
atlantic-baum-liberty,2024,8,31,17,0,0,0,0,1,0.548,5.0,0.0,71.8,13.71
atlantic-baum-liberty,2024,9,30,12,0,0,0,0,6,0.4,5.02,0.0,67.54,12.43
atlantic-baum-liberty,2024,10,31,9,0,0,0,0,7,0.29,1.36,0.0,55.57,11.09
atlantic-baum-liberty,2024,11,30,14,3,5,0,0,1,0.467,3.9,1.02,47.13,9.93
